kic1	kic2	tyc1	tyc2
KIC	7741179		KIC
KIC	7948086		TYC
KIC	8017159		TYC
KIC	7948193		TYC
KIC	8016118		TYC
KIC	7808227		TYC
KIC	7807614		TYC
KIC	5339823		TYC
KIC	5426041		TYC
KIC	5597965		TYC
KIC	5685000		TYC
KIC	5512777		TYC
KIC	5770923		TYC
KIC	5598789		BD+40
KIC	5599763		KIC
KIC	5514079		KIC
KIC	5857618		KIC
KIC	5515314		TYC
KIC	5772710		TYC
KIC	5514974		TYC
KIC	5602545		TYC
KIC	5859492		TYC
KIC	5860093		TYC
KIC	5517442		TYC
KIC	5689606		KIC
KIC	5689343		TYC
KIC	5774568		KIC
KIC	4814198		TYC
KIC	4902641		TYC
KIC	4902701		TYC
KIC	4633907		TYC
KIC	4991033		KIC
KIC	4991732		KIC
KIC	5167473		TYC
KIC	5257167		TYC
KIC	5168713		KIC
KIC	5168382		TYC
KIC	6188215		TYC
KIC	5858947		TYC
KIC	6425301		KIC
KIC	5858034		KIC
KIC	6346443		TYC
KIC	6185790		TYC
KIC	6104786		TYC
KIC	6424157		KIC
KIC	6345474		TYC
KIC	6423690		TYC
KIC	6264398		TYC
KIC	6343222		KIC
KIC	6263410		TYC
KIC	6262867		TYC
KIC	6262706		TYC
KIC	6181896		KIC
KIC	6101471		KIC
KIC	6929729		KIC
KIC	6843557		TYC
KIC	6843705		TYC
KIC	6928997		TYC
KIC	6929280		TYC
KIC	6502831		TYC
KIC	6756908		KIC
KIC	6756579		TYC
KIC	6501676		KIC
KIC	6755907		KIC
KIC	6755830		TYC
KIC	6755373		TYC
KIC	3323943		TYC
KIC	3217051		TYC
KIC	3216467		TYC
KIC	3526625		TYC
KIC	3424105		TYC
KIC	3425675		TYC
KIC	3527032		TYC
KIC	3425476		TYC
KIC	3527891		TYC
KIC	3529597		TYC
KIC	3529276		TYC
KIC	3528656		TYC
KIC	3631402		KIC
KIC	3326790		TYC
KIC	3530823		TYC
KIC	3531478		TYC
KIC	3222670		TYC
KIC	3222220		TYC
KIC	3633057		TYC
KIC	3633152		TYC
KIC	3532734		KIC
KIC	3432732		TYC
KIC	3736477		KIC
KIC	2140446		KIC
KIC	2283075		TYC
KIC	2554924		TYC
KIC	2423824		TYC
KIC	2142095		TYC
KIC	2141928		TYC
KIC	2834230		TYC
KIC	2424934		TYC
KIC	2285898		TYC
KIC	2424822		TYC
KIC	3101090		TYC
